Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
76,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,14,13,1098,12.2,0.08,0.25,0.08,0.00,0.00,0.16,0.08,0.08,0.25,0.33,0.08,0.33,0.02,0.02,0.19,0.21,0.02,0.19,0.21,0.02,0.21,Matches,c9e99e49
77,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,9,5,404,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.07,0.02,0.05,0.07,0.02,0.07,Matches,ad1f61f3
78,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,10,10,812,9.0,0.11,0.00,0.11,0.00,0.00,0.44,0.00,0.11,0.00,0.11,0.11,0.11,0.04,0.04,0.01,0.06,0.05,0.01,0.06,0.05,0.06,Matches,9260926b
79,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,3,1,79,0.9,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,1.14,1.14,0.00,1.14,0.00,0.00,0.11,0.22,0.04,0.16,0.20,0.04,0.20,Matches,69c5633e
80,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,28,23,2123,23.6,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,Matches,1a4ef233
81,Amath,sn SEN,MFFW,Mallorca,es La Liga,25,1996,19,9,884,9.8,0.00,0.10,0.00,0.00,0.00,0.51,0.00,0.00,0.10,0.10,0.00,0.10,0.15,0.15,0.08,0.23,0.15,0.08,0.23,0.15,0.23,Matches,f3b1d9a2
82,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,8,4,413,4.6,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.02,0.00,0.02,Matches,22721b88
83,Jordan Amavi,fr FRA,DFFW,Marseille,fr Ligue 1,27,1994,2,2,128,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,22721b88
84,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,1,1,71,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,35b4bc62
85,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,32,31,2646,29.4,0.03,0.03,0.03,0.00,0.00,0.31,0.07,0.03,0.03,0.07,0.03,0.07,0.11,0.11,0.04,0.15,0.11,0.04,0.15,0.11,0.15,Matches,bcc81786
86,Nadiem Amiri,de GER,MF,Genoa,it Serie A,24,1996,13,9,683,7.6,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,0.13,0.13,0.28,0.41,0.14,0.27,0.41,0.14,0.41,Matches,555d5edd
87,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,24,1996,13,3,369,4.1,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0.12,0.12,0.10,0.22,0.13,0.10,0.23,0.13,0.23,Matches,555d5edd
88,Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,29,26,2282,25.4,0.00,0.12,0.00,0.00,0.00,0.51,0.08,0.00,0.12,0.12,0.00,0.12,0.01,0.01,0.07,0.08,0.01,0.07,0.08,0.01,0.08,Matches,10b9fa99
89,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,23,8,944,10.5,0.10,0.00,0.10,0.00,0.00,0.57,0.00,0.10,0.00,0.10,0.10,0.10,0.02,0.02,0.03,0.05,0.02,0.03,0.05,0.02,0.05,Matches,5a2cb25d
90,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,34,32,2916,32.4,0.00,0.09,0.00,0.00,0.00,0.12,0.00,0.00,0.09,0.09,0.00,0.09,0.03,0.03,0.06,0.09,0.03,0.06,0.09,0.03,0.09,Matches,e34fc66d
