Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
63,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1.0,5.00,0.00,0.00,1.00,0.00,2.70,0.34,-2.30,-2.32,11.0,17.0,64.7,19.0,4.00,36.8,36.4,12.0,83.3,50.8,16.0,0.00,0.0,0.00,0.00,4.0,Matches,a2565f79
64,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32.0,1.22,0.06,0.03,0.09,0.03,1.24,0.27,0.05,+0.05,7.66,19.8,38.7,33.9,3.50,41.5,37.8,7.63,75.0,59.1,14.4,0.44,3.0,1.09,1.09,15.8,Matches,a92ab7be
65,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19.0,1.84,0.11,0.00,0.26,0.11,1.71,0.31,-0.03,-0.03,5.53,17.4,31.8,24.3,3.74,50.1,39.6,7.37,70.7,49.5,15.0,0.95,6.3,1.26,1.26,12.4,Matches,c3e39f12
66,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26.0,1.88,0.12,0.00,0.12,0.04,1.43,0.29,-0.42,-0.42,7.54,23.9,31.5,25.3,2.92,64.1,44.7,8.58,90.1,60.6,17.5,0.77,4.4,1.42,1.42,15.8,Matches,d0b3ceb9
67,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,10.0,10.0,100.0,40.0,0.00,25.0,18.0,0.00,,,0.00,0.00,,0.00,0.00,19.0,Matches,1940be91
68,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8.0,3.75,0.25,0.00,0.38,0.25,3.02,0.41,-0.47,-0.47,8.13,22.8,35.7,36.0,3.25,45.8,37.5,8.75,71.4,52.2,11.9,0.88,7.4,2.38,2.38,18.6,Matches,86314793
69,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31.0,1.45,0.26,0.03,0.23,0.06,1.46,0.28,0.07,+0.07,5.90,14.6,40.5,26.3,5.13,38.9,34.7,7.94,54.9,40.1,13.3,0.61,4.6,0.81,0.81,14.5,Matches,db3164e1
70,Joan García,es ESP,GK,Espanyol,es La Liga,20,2001,1.2,2.50,0.00,0.00,0.00,0.00,0.83,0.33,-1.67,-1.68,3.33,8.33,40.0,26.7,7.50,25.0,28.8,1.67,100.0,71.0,13.3,0.00,0.0,4.17,4.17,26.3,Matches,87b498b0
71,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,30,1990,38.0,1.50,0.08,0.00,0.11,0.08,1.45,0.29,0.03,+0.03,2.71,8.29,32.7,16.4,3.53,30.0,30.9,7.87,42.8,35.9,13.8,0.21,1.5,0.66,0.66,14.0,Matches,7ba6d84e
72,Luca Gemello,it ITA,GK,Torino,it Serie A,21,2000,1.0,0.00,0.00,0.00,0.00,0.00,0.20,0.08,0.20,+0.23,6.00,24.0,25.0,31.0,1.00,67.7,47.8,3.00,100.0,56.3,10.0,0.00,0.0,1.00,1.00,21.0,Matches,53e494ec
