Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
94,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,9,0.77,6,0,0,1,0,2,2,0.17,1,0,0,0,0,1,Matches,6ea23758
95,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,60,1.96,46,2,2,3,1,6,6,0.20,4,0,0,1,0,1,Matches,ef9c1c95
96,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,9,2.29,7,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,3724baa1
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,38,1.88,27,0,2,5,3,1,6,0.30,3,0,0,3,0,0,Matches,e0b113a7
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,19,1.58,14,1,2,1,1,0,2,0.17,1,0,0,1,0,0,Matches,3024e383
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,83,3.25,53,22,3,4,1,0,8,0.31,5,3,0,0,0,0,Matches,30941e96
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,39aa05a7
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,28,3.66,21,3,2,2,0,0,5,0.65,4,0,0,1,0,0,Matches,bbafc0c4
102,Janis Antiste,fr FRA,FWMF,Spezia,it Serie A,18,2002,8.8,15,1.69,12,0,1,1,0,1,1,0.11,0,0,0,0,0,1,Matches,38d9ce53
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,40,1.39,31,0,1,2,2,4,2,0.07,2,0,0,0,0,0,Matches,5e66fa06
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4a5f2032
105,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,96,2.91,64,1,11,11,9,0,17,0.51,10,0,1,4,2,0,Matches,ac05f970
106,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,12.6,28,2.23,15,1,1,5,6,0,2,0.16,1,0,0,0,1,0,Matches,0a3f6cde
107,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,23,1998,27.8,99,3.56,76,3,6,9,4,1,6,0.22,5,0,0,1,0,0,Matches,a5db0bec
108,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12.0,38,3.17,21,10,1,1,5,0,5,0.42,3,2,0,0,0,0,Matches,b94b8be1
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,12,0.51,11,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,feb5d3ab
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,75,2.53,34,31,2,2,3,3,10,0.34,4,4,1,0,0,1,Matches,58afe001
111,Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23.3,73,3.13,30,22,2,4,15,0,11,0.47,7,1,0,0,3,0,Matches,0847b5a5
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,40,2.28,34,3,1,1,1,0,5,0.28,4,0,1,0,0,0,Matches,56413b1f
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,14,0.48,12,0,1,1,0,0,2,0.07,2,0,0,0,0,0,Matches,27a013f7
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,19,0.75,12,0,0,2,1,4,0,0.00,0,0,0,0,0,0,Matches,2bef2bca
115,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,19,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,05e8ca6d
116,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2f965a72
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,4,1.91,1,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,94e01ec6
118,Matias Arezo,uy URU,FWMF,Granada,es La Liga,18,2002,1.8,6,3.33,5,0,0,1,0,0,1,0.56,0,0,0,1,0,0,Matches,484ebdb0
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,9,1.84,6,1,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,fdd60087
120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,36,2.29,22,0,5,6,3,0,3,0.19,2,0,0,0,1,0,Matches,68c720b5
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,54,3.30,42,2,2,3,4,1,3,0.18,1,0,1,0,1,0,Matches,97333cf5
122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,89,2.97,71,0,7,9,2,0,7,0.23,5,0,1,1,0,0,Matches,00459419
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,106,3.19,56,45,2,0,3,0,4,0.12,2,1,0,0,1,0,Matches,86e119e0
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,28d596a0
125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,48,2.60,30,5,1,4,7,1,8,0.43,3,0,0,2,3,0,Matches,963a328b
126,Arthur,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,17,2.05,10,0,3,1,2,1,5,0.60,3,0,1,1,0,0,Matches,a820e429
127,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,5.2,5,0.96,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,759d8dd7
128,Takuma Asano,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,48,2.69,34,0,4,6,3,1,7,0.39,6,0,0,0,1,0,Matches,13ddc856
129,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,38,1.44,32,1,1,1,1,2,1,0.04,1,0,0,0,0,0,Matches,e26fcca3
130,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9f0ea33f
131,Alejandro Asensio,es ESP,MF,Rayo Vallecano,es La Liga,20,2000,0.1,2,13.85,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b4c23f36
132,Marco Asensio,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,70,3.64,42,12,5,9,2,0,6,0.31,3,0,1,2,0,0,Matches,45af8a54
133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b391383a
134,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,8,0.95,5,0,2,0,0,1,1,0.12,1,0,0,0,0,0,Matches,a69cc629
135,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,35f67a30
